2786514	nm1010540	Terence Winter:nm1010540:I:nm1010540:tt0141842:tt0141842	nm0887700,nm0666274,nm0002339,nm0851930,nm0111391,nm0070474,nm0000114,nm0003733,nm0153740,nm0327064,nm0671992,nm0784388,nm0938490,nm0115751,nm0848414,nm0371348,nm0000953,nm0001214,nm0006554,nm0500444,nm0638354,nm0793455,nm0008971,nm1010540:2786514.2:tvSeries	The Sopranos	1999	55	Crime,Dramaloop
3261484	nm2937122	Adrian Molina:nm2937122:I:nm2937122:tt2380307:tt2380307	nm0881279,nm2937122:3261484.8:movie	Coco	2017	105	Adventure,Animation,Familyloop
3464323	nm0525303	Baz Luhrmann:nm0525303:I:nm0525303:tt1343092:tt1343092	nm0525303:3464323.0:movie	The Great Gatsby	2013	143	Drama,Romance
3486456	nm1158544	Jared Bush:nm1158544:I:nm1158544:tt2948356:tt2948356	nm0397174,nm0601781,nm1158544:3486456.0:movie	Zootopia	2016	108	Adventure,Animation,Comedyloop
3643710	nm1512910	Duncan Jones:nm1512910:I:nm1512910:tt0945513:tt0945513	nm1512910:3643710.0:movie	Source Code	2011	93	Action,Drama,Mystery
3683738	nm0935395	Katheryn Winnick:nm0935395:I:nm0935395:tt2306299:tt2306299	nm9507537,nm1958158,nm0804556,nm0292468,nm0362395,nm0343898,nm0320987,nm0093322,nm1908892,nm0719307,nm0001726,nm0538614,nm0920001,nm0106456,nm1012772,nm9507538,nm0941276,nm0935395:3683738.5:tvSeries	Vikings	2013	44	Action,Adventure,Dramaloop
3725366	nm0905152	Lilly Wachowski:nm0905152:I:nm0905152:tt0234215:tt0234215	nm0905154,nm0905152:3725366.2:movie	The Matrix Reloaded	2003	138	Action,Sci-Filoop
3816366	nm1443502	Jordan Peele:nm1443502:I:nm1443502:tt5052448:tt5052448	nm1443502:3816366.2:movie	Get Out	2017	104	Horror,Mystery,Thriller
4566642	nm0009190	J.J. Abrams:nm0009190:I:nm0009190:tt0796366:tt0796366	nm0009190:4566642.5:movie	Star Trek	2009	127	Action,Adventure,Sci-Fi
5935814	nm0190859	Alfonso Cuarón:nm0190859:I:nm0190859:tt1454468:tt1454468	nm0190859:5935814.5:movie	Gravity	2013	91	Drama,Sci-Fi,Thriller
7246544	nm1783265	Tim Miller:nm1783265:I:nm1783265:tt1431045:tt1431045	nm1783265:7246544.0:movie	Deadpool	2016	108	Action,Adventure,Comedy
8039529	nm0021249	Roger Allers:nm0021249:I:nm0021249:tt0110357:tt0110357	nm0591450,nm0021249:8039529.5:movie	The Lion King	1994	88	Adventure,Animation,Dramaloop
8491739	nm0574625	James McTeigue:nm0574625:I:nm0574625:tt0434409:tt0434409	nm0574625:8491739.0:movie	V for Vendetta	2005	132	Action,Drama,Sci-Fi
18266170	nm0634240	Christopher Nolan:nm0634240:I:nm0634240:tt1375666:tt1375666	nm0634240:1.826617E7:movie	Inception	2010	148	Action,Adventure,Sci-Fi
